"VABC Liquor and Wines Price List Effective Date: April 01, 2017 - June 30, 2017",,,,,,
Description,Code,Brand,Size,Age,Proof,Price
STRAIGHT BOURBON WHISKEY,18858,Larceny Bourbon,1.75L,,92,$49.99 
STRAIGHT BOURBON WHISKEY,18852,Larceny Bourbon,50ml,,92,$1.59 
STRAIGHT BOURBON WHISKEY,18856,Larceny Bourbon,750ml,,92,$29.99 
STRAIGHT BOURBON WHISKEY,19436,Lexington Bourbon,750ml,,86,$27.99 
STRAIGHT BOURBON WHISKEY,19485,Maker's Mark 46 Bourbon,375ml,,94,$22.99 
STRAIGHT BOURBON WHISKEY,19486,Maker's Mark 46 Bourbon,750ml,,94,$39.99 
STRAIGHT BOURBON WHISKEY,19562,Maker's Mark American Pharaoh,1L,,0,$74.99 
STRAIGHT BOURBON WHISKEY,19473,Maker's Mark Bourbon,200ml,,90,$9.99 
STRAIGHT BOURBON WHISKEY,19475,Maker's Mark Bourbon,375ml,,90,$18.49 
STRAIGHT BOURBON WHISKEY,19471,Maker's Mark Bourbon,50ml,,90,$3.99 
STRAIGHT BOURBON WHISKEY,19476,Maker's Mark Bourbon,750ml,4YR,90,$29.99 
STRAIGHT BOURBON WHISKEY,19477,Maker's Mark Bourbon,1L,,90,$40.99 
STRAIGHT BOURBON WHISKEY,19478,Maker's Mark Bourbon,1.75L,4YR,90,$61.99 
STRAIGHT BOURBON WHISKEY,19481,Maker's Mark Cask Strength,750ml,,110,$49.99 
STRAIGHT BOURBON WHISKEY,19632,Mattingly & Moore,1L,,80,$8.99 
STRAIGHT BOURBON WHISKEY,19633,Mattingly & Moore Bourbon,1.75L,,80,$18.99 
STRAIGHT BOURBON WHISKEY,27936,Mccauley's Virginia Bourbon Whiskey,750ml,,90,$36.99 
STRAIGHT BOURBON WHISKEY,19826,Medley Bros. Straight Bourbon Whiskey,750ml,,102,$24.99 
STRAIGHT BOURBON WHISKEY,19876,Michter's Single Barrel 10 Yr. Bourbon,750ml,10YR,94.4,$114.99 
STRAIGHT BOURBON WHISKEY,19880,Michter's Us1 Small Batch Bourbon,750ml,,91.4,$41.99 
STRAIGHT BOURBON WHISKEY,27767,Murlarkey Cincerity,750ml,,80,$29.99 
STRAIGHT BOURBON WHISKEY,20908,Old 1889 Brand,1.75L,,80,$18.99 
STRAIGHT BOURBON WHISKEY,20247,Old Crow,1L,4YR,80,$10.99 
STRAIGHT BOURBON WHISKEY,20248,Old Crow,1.75L,4YR,80,$19.99 
STRAIGHT BOURBON WHISKEY,20286,Old Crow Traveler,750ml,4YR,80,$9.99 
STRAIGHT BOURBON WHISKEY,20366,Old Forester,750ml,,86,$18.99 
STRAIGHT BOURBON WHISKEY,20367,Old Forester,1L,,86,$21.99 
STRAIGHT BOURBON WHISKEY,20368,Old Forester,1.75L,,86,$37.99 
STRAIGHT BOURBON WHISKEY,20369,Old Forester 1870 Craft,750ml,,90,$44.99 
STRAIGHT BOURBON WHISKEY,20372,Old Forester 1897 Craft Bourbon,750ml,,100,$49.99 
STRAIGHT BOURBON WHISKEY,20376,Old Forester 1920 Craft Bourbon,750ml,,115,$59.99 
STRAIGHT BOURBON WHISKEY,811,Old Forester Birthday Bourbon 2016,750ml,,97,$79.99 
STRAIGHT BOURBON WHISKEY,16396,Old Forester Signature,750ml,,100,$21.99 
STRAIGHT BOURBON WHISKEY,20454,Old Grand Dad,750ml,,80,$18.99 
STRAIGHT BOURBON WHISKEY,16416,Old Grand Dad 100,750ml,,100,$23.99 
STRAIGHT BOURBON WHISKEY,20116,Old Grand Dad 114,750ml,,114,$24.99 
STRAIGHT BOURBON WHISKEY,20676,Old Medley 12 Yr,750ml,,86.8,$64.99 
STRAIGHT BOURBON WHISKEY,20140,Old Rip Van Winkle 10yr,750ml,,107,$59.99 
STRAIGHT BOURBON WHISKEY,20726,Old Ripy,375ml,,104,$59.99 
STRAIGHT BOURBON WHISKEY,20819,Old Taylor PET,1.75L,,80,$18.99 
STRAIGHT BOURBON WHISKEY,20150,Pappy Van Winkle Family Reserve 15yr,750ml,,107,$99.99 
STRAIGHT BOURBON WHISKEY,27879,Parker's Heritage 24 Yr Bib,750ml,,100,$249.99 
STRAIGHT BOURBON WHISKEY,21206,Rebel Yell,750ml,4YR,80,$15.99 
STRAIGHT BOURBON WHISKEY,21208,Rebel Yell,1.75L,4YR,80,$28.99 
STRAIGHT BOURBON WHISKEY,16454,Reservoir Bourbon Whiskey,375ml,,100,$42.19 
STRAIGHT BOURBON WHISKEY,21230,Rhetoric Whiskey,750ml,22YR,90,$109.99 
STRAIGHT BOURBON WHISKEY,732,Rod And Rifle Straight Bourbon Whiskey,750ml,,80,$37.09 
STRAIGHT BOURBON WHISKEY,22178,Russell's Reserve Single Barrel,750ml,,110,$59.99 
STRAIGHT BOURBON WHISKEY,21348,Sam Clay,1.75L,6YR,80,$19.49 
STRAIGHT BOURBON WHISKEY,27590,Smooth Ambler Old Scout Bourbon,750ml,,99,$42.79 
STRAIGHT BOURBON WHISKEY,21540,Stagg Jr.,750ml,,134.4,$52.99 
STRAIGHT BOURBON WHISKEY,27560,Stranahan Colorado Whiskey,750ml,,94,$59.99 
STRAIGHT BOURBON WHISKEY,27835,The Gifted Horse,750ml,,115,$49.99 
STRAIGHT BOURBON WHISKEY,21906,Van Winkle Special Reserve Bourbon 12 Yr,750ml,,90.4,$69.99 
