whisky,meta_critic,stdev,count,cost,class,super_cluster,cluster,country,type,alt_brand
Glenmorangie Lasanta,8.4,0.36,19,$$$,SingleMalt-like,ABC,A,Scotland,Malt,glenmorangie lasanta
Glenmorangie Milsean,8.49,0.39,9,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt,glenmorangie milsean
Glenmorangie Nectar d'Or,8.76,0.28,20,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,d'or glenmorangie nectar
Glenmorangie Quinta Ruban,8.57,0.48,21,$$$,SingleMalt-like,ABC,B,Scotland,Malt,glenmorangie quinta ruban
Glenmorangie Signet,8.98,0.4,18,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt,glenmorangie signet
Glenmorangie Taghta,8.7,0.32,9,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt,glenmorangie taghta
Glenmorangie Tusail,8.82,0.35,11,$$$$$,SingleMalt-like,GH,G,Scotland,Malt,glenmorangie tusail
Glenrothes Alba Reserve,8.39,0.15,8,$$$,SingleMalt-like,GH,G,Scotland,Malt,alba glenrothes reserve
Glenrothes Bourbon Cask Reserve,8.16,0.17,3,$$$,SingleMalt-like,GH,G,Scotland,Malt,cask glenrothes reserve
Glenrothes Elders' Reserve,8.26,0.73,7,$$$$,SingleMalt-like,EF,E,Scotland,Malt,elders' glenrothes reserve
Glenrothes Minister's Reserve,8.73,0.17,4,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt,glenrothes minister reserve
Glenrothes Peated Cask Reserve,8.11,0.54,3,$$$,SingleMalt-like,I,I,Scotland,Malt,cask glenrothes peated reserve
Glenrothes Robur Reserve,8.21,0.41,6,$$,SingleMalt-like,ABC,B,Scotland,Malt,glenrothes reserve robur
Glenrothes Select Reserve,7.84,0.34,13,$$$,SingleMalt-like,EF,E,Scotland,Malt,glenrothes reserve select
Glenrothes Sherry Cask Reserve,8.13,0.72,9,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,cask glenrothes reserve sherry
Glenrothes Vintage 1995 (all bottlings),8.62,0.26,14,$$$$,SingleMalt-like,EF,E,Scotland,Malt,1995 all bottlings glenrothes vintage
Glenrothes Vintage 1998 (2014),8.33,0.62,10,$$$$,SingleMalt-like,EF,F,Scotland,Malt,1998 2014 glenrothes vintage
Glenrothes Vintage 2001 (all bottlings),8.19,0.62,9,$$$$,SingleMalt-like,EF,E,Scotland,Malt,2001 all bottlings glenrothes vintage
Glenrothes Vintage Reserve (NAS),8.6,0.16,5,$$$,SingleMalt-like,EF,E,Scotland,Malt,glenrothes reserve vintage
Glentauchers 1991 18yo (Gordon & MacPhail),8.43,0.25,3,$$$$,SingleMalt-like,ABC,B,Scotland,Malt,18 1991 glentauchers gordon macphail
Glenturret 10yo,8.1,0.51,11,$$,SingleMalt-like,GH,G,Scotland,Malt,10 glenturret
Gooderham & Worts Four Grain,8.69,0.26,10,$$,Rye-like,,,Canada,Blend,four gooderham grain worts
Gouden Carolus Single Malt,8.04,0.23,3,$$$$,SingleMalt-like,EF,E,Belgium,Malt,carolus gouden
Grant's Blended Sherry Cask,7.95,0.19,5,$,Scotch-like,,,Scotland,Blend,blended cask grant sherry
Grant's Family Reserve Blended,7.64,0.66,13,$,Scotch-like,,,Scotland,Blend,blended family grant reserve
Green Spot,8.49,0.38,16,$$$$,SingleMalt-like,EF,F,Ireland,Malt,green spot
Green Spot Chteau Loville Barton,8.82,0.35,7,$$$$,SingleMalt-like,ABC,C,Ireland,Blend,barton chteau green loville spot
Hakushu 10yo,8.76,0.26,4,$$$,SingleMalt-like,GH,H,Japan,Malt,10 hakushu
Hakushu 12yo,8.72,0.21,18,$$$$,SingleMalt-like,GH,H,Japan,Malt,12 hakushu
Hakushu 18yo,8.73,0.32,8,$$$$$,SingleMalt-like,EF,F,Japan,Malt,18 hakushu
Hakushu NAS,8.29,0.4,5,$$$,SingleMalt-like,GH,H,Japan,Malt,hakushu
Hakushu Sherry Cask,8.98,0.43,7,$$$$$+,SingleMalt-like,ABC,B,Japan,Malt,cask hakushu sherry
Hakushu Single Malt Heavily Peated,8.79,0.33,12,$$$$$+,SingleMalt-like,I,I,Japan,Malt,hakushu heavily peated
Hazelburn 12yo (Springbank),8.64,0.24,15,$$$$,SingleMalt-like,ABC,C,Scotland,Malt,12 hazelburn springbank
Hazelburn 8yo (Springbank),8.37,0.39,11,$$$$,SingleMalt-like,GH,G,Scotland,Malt,8 hazelburn springbank
Heaven Hill 6yo BiB,8.46,0.03,4,$,Bourbon-like,,,USA,Bourbon,6 bib heaven hill
Heaven Hill Old Syle Bourbon (white label),7.86,0.45,5,$,Bourbon-like,,,USA,Bourbon,heaven hill old syle white
Heaven Hill Trybox Series New Make,8.2,0.28,3,$,Bourbon-like,,,USA,Bourbon,heaven hill make new series trybox
Henry McKenna 10yo Single Barrel BiB,8.82,0.21,9,$$,Bourbon-like,,,USA,Bourbon,10 barrel bib henry mckenna single
Henry McKenna Straight Bourbon,8.08,0.06,3,$,Bourbon-like,,,USA,Bourbon,henry mckenna straight
Hibiki 12yo,8.63,0.25,19,$$$$,SingleMalt-like,GH,G,Japan,Blend,12 hibiki
Hibiki 17yo,8.72,0.32,14,$$$$$,SingleMalt-like,EF,E,Japan,Blend,17 hibiki
Hibiki 21yo,9.11,0.25,8,$$$$$+,SingleMalt-like,EF,E,Japan,Blend,21 hibiki
Hibiki Harmony,8.38,0.6,15,$$$$,SingleMalt-like,GH,G,Japan,Blend,harmony hibiki
High West American Prairie,8.23,0.83,5,$$$,Bourbon-like,,,USA,Bourbon,american high prairie west
High West Bourye,8.87,0.23,7,$$$$,Rye-like,,,USA,Blend,bourye high west
High West Campfire,8.78,0.35,11,$$$$,Scotch-like,,,USA,Blend,campfire high west
High West Double Rye,8.7,0.29,13,$$,Rye-like,,,USA,Rye,double high rye west
High West Double Rye Campfire Barrel,8.5,0.28,4,$$$,Rye-like,,,USA,Rye,barrel campfire double high rye west
High West Midwinter Nights Dram Rye,9.11,0.19,11,$$$$$,Rye-like,,,USA,Rye,dram high midwinter nights rye west
High West Rendezvous Rye,8.91,0.31,14,$$$$,Rye-like,,,USA,Rye,high rendezvous rye west
High West Rocky Mountain Rye 16yo,9.18,0.34,4,$$$$$,Rye-like,,,USA,Rye,16 high mountain rocky rye west
High West Rocky Mountain Rye 21yo,9.14,0.24,7,$$$$$+,Rye-like,,,USA,Rye,21 high mountain rocky rye west
High West Son of Bourye,8.42,0.42,10,$$$,Rye-like,,,USA,Blend,bourye high of son west
High West Yippee Ki-Yay,8.66,0.31,6,$$$$,Rye-like,,,USA,Rye,high ki west yay yippee
Highland Park 10yo,8.49,0.28,14,$$$,SingleMalt-like,I,I,Scotland,Malt,10 highland park
Highland Park 12yo (all reviews),8.67,0.21,23,$$$,SingleMalt-like,I,I,Scotland,Malt,12 all highland park reviews
Highland Park 12yo (reviews post-mid 2014),8.43,0.35,13,$$$,SingleMalt-like,I,I,Scotland,Malt,12 2014 highland mid park post reviews
Highland Park 12yo (reviews pre-mid 2014),8.79,0.25,18,$$$,SingleMalt-like,I,I,Scotland,Malt,12 2014 highland mid park pre reviews
Highland Park 15yo,8.71,0.26,11,$$$$,SingleMalt-like,ABC,C,Scotland,Malt,15 highland park
Highland Park 15yo Fire,8.8,0.4,7,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,15 fire highland park
Highland Park 15yo Freya,8.72,0.4,12,$$$$$+,SingleMalt-like,I,I,Scotland,Malt,15 freya highland park
Highland Park 15yo Loki,9.04,0.23,15,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,15 highland loki park
Highland Park 16yo Odin,9.09,0.26,7,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,16 highland odin park
Highland Park 16yo Thor,8.9,0.33,12,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,16 highland park thor
Highland Park 17yo Ice,8.69,0.28,8,$$$$$+,SingleMalt-like,I,I,Scotland,Malt,17 highland ice park
Highland Park 18yo,9.08,0.22,23,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt,18 highland park
Highland Park 21yo,8.9,0.4,16,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,21 highland park
Highland Park 25yo,9.17,0.24,13,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,25 highland park
Highland Park 30yo,9.15,0.41,12,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,30 highland park
Highland Park 40yo,9.16,0.43,10,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt,40 highland park
