STRAIGHT BOURBON WHISKEY,19476,Maker's Mark Bourbon,750ml,4YR,90.0,$29.99 ,maker mark,25.36011361330899,29.99 ,4
STRAIGHT BOURBON WHISKEY,19477,Maker's Mark Bourbon,1L,,90.0,$40.99 ,maker mark,33.81348481774532,40.99 ,
STRAIGHT BOURBON WHISKEY,19478,Maker's Mark Bourbon,1.75L,4YR,90.0,$61.99 ,maker mark,59.17359843105431,61.99 ,4
STRAIGHT BOURBON WHISKEY,19481,Maker's Mark Cask Strength,750ml,,110.0,$49.99 ,cask maker mark strength,25.36011361330899,49.99 ,
STRAIGHT BOURBON WHISKEY,19632,Mattingly & Moore,1L,,80.0,$8.99 ,mattingly moore,33.81348481774532,8.99 ,
STRAIGHT BOURBON WHISKEY,19633,Mattingly & Moore Bourbon,1.75L,,80.0,$18.99 ,mattingly moore,59.17359843105431,18.99 ,
STRAIGHT BOURBON WHISKEY,27936,Mccauley's Virginia Bourbon Whiskey,750ml,,90.0,$36.99 ,mccauley virginia,25.36011361330899,36.99 ,
STRAIGHT BOURBON WHISKEY,19826,Medley Bros. Straight Bourbon Whiskey,750ml,,102.0,$24.99 ,bros. medley straight,25.36011361330899,24.99 ,
STRAIGHT BOURBON WHISKEY,19876,Michter's Single Barrel 10 Yr. Bourbon,750ml,10YR,94.4,$114.99 ,. 10 barrel michter single,25.36011361330899,114.99 ,10
STRAIGHT BOURBON WHISKEY,19880,Michter's Us1 Small Batch Bourbon,750ml,,91.4,$41.99 ,batch michter small,25.36011361330899,41.99 ,
STRAIGHT BOURBON WHISKEY,27767,Murlarkey Cincerity,750ml,,80.0,$29.99 ,cincerity murlarkey,25.36011361330899,29.99 ,
STRAIGHT BOURBON WHISKEY,20908,Old 1889 Brand,1.75L,,80.0,$18.99 ,1889 brand old,59.17359843105431,18.99 ,
STRAIGHT BOURBON WHISKEY,20247,Old Crow,1L,4YR,80.0,$10.99 ,crow old,33.81348481774532,10.99 ,4
STRAIGHT BOURBON WHISKEY,20248,Old Crow,1.75L,4YR,80.0,$19.99 ,crow old,59.17359843105431,19.99 ,4
STRAIGHT BOURBON WHISKEY,20286,Old Crow Traveler,750ml,4YR,80.0,$9.99 ,crow old traveler,25.36011361330899,9.99 ,4
STRAIGHT BOURBON WHISKEY,20366,Old Forester,750ml,,86.0,$18.99 ,forester old,25.36011361330899,18.99 ,
STRAIGHT BOURBON WHISKEY,20367,Old Forester,1L,,86.0,$21.99 ,forester old,33.81348481774532,21.99 ,
STRAIGHT BOURBON WHISKEY,20368,Old Forester,1.75L,,86.0,$37.99 ,forester old,59.17359843105431,37.99 ,
STRAIGHT BOURBON WHISKEY,20369,Old Forester 1870 Craft,750ml,,90.0,$44.99 ,1870 forester old,25.36011361330899,44.99 ,
STRAIGHT BOURBON WHISKEY,20372,Old Forester 1897 Craft Bourbon,750ml,,100.0,$49.99 ,1897 forester old,25.36011361330899,49.99 ,
STRAIGHT BOURBON WHISKEY,20376,Old Forester 1920 Craft Bourbon,750ml,,115.0,$59.99 ,1920 forester old,25.36011361330899,59.99 ,
STRAIGHT BOURBON WHISKEY,811,Old Forester Birthday Bourbon 2016,750ml,,97.0,$79.99 ,2016 birthday forester old,25.36011361330899,79.99 ,
STRAIGHT BOURBON WHISKEY,16396,Old Forester Signature,750ml,,100.0,$21.99 ,forester old signature,25.36011361330899,21.99 ,
